wordID,wID,unitID,uID,wordSeq,wordToken,wordTranscript
721,0,133,133,6,root,root
722,0,133,133,7,of,of
723,0,133,133,8,one,o:ne
724,0,133,133,9, ,","
725,0,134,134,0, ,...
726,0,134,134,1,over,over
727,0,134,134,2,the,the
728,0,134,134,3,square,square
729,0,134,134,4,root,root
730,0,134,134,5,of,of
731,0,134,134,6,two,two:
732,0,134,134,7, ,.
733,0,135,135,0, ,..
734,0,135,135,1,Oh,Oh:
735,0,135,135,2, ,.
736,0,136,136,0, ,..
737,0,136,136,1,And,And
738,0,136,136,2,then,then
739,0,136,136,3,you,you
740,0,136,136,4, ,..
741,0,136,136,5,multiply,multiply
742,0,136,136,6,that,that
743,0,136,136,7,by,by
744,0,136,136,8,the,the
745,0,136,136,9,square,square
746,0,136,136,10,root,root
747,0,136,136,11,of,of
748,0,136,136,12,two,two:
749,0,136,136,13, ,","
750,0,137,137,0,over,over
751,0,137,137,1,the,the
752,0,137,137,2,square,square
753,0,137,137,3,root,root
754,0,137,137,4,of,of
755,0,137,137,5,two,tw[o
756,0,137,137,6, ,.
757,0,138,138,0,Right,[Ri:ght]
758,0,138,138,1, ,.
759,0,139,139,0, ,|
760,0,139,139,1,Uh,|Uh]
761,0,139,139,2, ,","
762,0,140,140,0,is,is
763,0,140,140,1,that,that
764,0,140,140,2,what,what
765,0,140,140,3,all,all
766,0,140,140,4,those,[2those
767,0,140,140,5,square,|2square
768,0,140,140,6,root,|2root
769,0,140,140,7,of,|2of
770,0,140,140,8,twos,|2twos
771,0,140,140,9,are,|2@are
772,0,140,140,10, ,?
773,0,141,141,0, ,[2
774,0,141,141,1,That's,|2That's
775,0,141,141,2,what,|2what
776,0,141,141,3,I,|2I
777,0,141,141,4,was,|2was
778,0,141,141,5,try,|2try-
779,0,141,141,6, ,|2@
780,0,141,141,7, ,--
781,0,142,142,0, ,|2@@@
782,0,142,142,1, ,|2
783,0,142,142,2, ,|2@@@
784,0,142,142,3, ,|22]
785,0,143,143,0, ,|2@@@@2]
786,0,144,144,0,That's,@That's
787,0,144,144,1,what,what
788,0,144,144,2,I,I
789,0,144,144,3,was,was
790,0,144,144,4,trying,trying
791,0,144,144,5,to,[3to
792,0,144,144,6,say,|3say:]
793,0,144,144,7, ,.
794,0,145,145,0, ,[3@
795,0,145,145,1, ,|3]
796,0,145,145,2,Okay,Okay
797,0,145,145,3, ,","
798,0,146,146,0,I,I
799,0,146,146,1,was,was
800,0,146,146,2,wondering,wondering
801,0,146,146,3,where,where
802,0,146,146,4,all,all
803,0,146,146,5,that,that
804,0,146,146,6, ,","
805,0,147,147,0,square,square
806,0,147,147,1,root,root
807,0,147,147,2,two,two:
808,0,147,147,3, ,","
809,0,148,148,0,square,square
810,0,148,148,1,root,root
811,0,148,148,2,two,[two:]
812,0,148,148,3, ,","
813,0,149,149,0, ,[@]@@
814,0,149,149,1,That's,[2That's
815,0,149,149,2,what,|2what
816,0,149,149,3,it,|2it
817,0,149,149,4,was,|2was]
818,0,149,149,5, ,.
819,0,150,150,0,Then,[2Then
820,0,150,150,1,right,|2right
821,0,150,150,2,here,|2here
822,0,150,150,3,you'd,|2you'd]
823,0,150,150,4,get,get
824,0,150,150,5, ,","
825,0,151,151,0, ,...
826,0,151,151,1,square,square
827,0,151,151,2,root,root
828,0,151,151,3,of,of
829,0,151,151,4,two,two
830,0,151,151,5, ,..
831,0,151,151,6,over,over
832,0,151,151,7,two,two
833,0,151,151,8, ,.
834,0,152,152,0, ,...
835,0,152,152,1,Mhm,Mhm
836,0,152,152,2, ,.
837,0,153,153,0, ,...
838,0,153,153,1,See,See
839,0,153,153,2,everything,everything
840,0,153,153,3,was,was
841,0,153,153,4, ,...
842,0,153,153,5,square,square
843,0,153,153,6,root,root
844,0,153,153,7,two,two:
845,0,153,153,8, ,","
846,0,154,154,0,over,over
847,0,154,154,1,two,two:
848,0,154,154,2, ,","
849,0,155,155,0,and,and
850,0,155,155,1,two,two
851,0,155,155,2, ,","
852,0,156,156,0,Right,Right
853,0,156,156,1, ,","
854,0,157,157,0,but,but
855,0,157,157,1,then,then
856,0,157,157,2, ,","
