Token,Lemma,Transcript,Count,Category,Subcategory,Correction,Special,Two_words,End_tone,Overlap,Lag,@word,#word,%word,_word,Other_symbols,Standoff,Name,Stop_List,[POS]
--,,]--,3,endtone,truncated_IU,,,,truncated_IU,],,,,,,,,,,
((h_j_p_laughing__sec)),,"((h,_j,_p_laughing_8.0_sec))",1,laugh,general,(CAPS),,,final,,,,,,,,,,,
((j_m_p_laughing__sec)),,"((j,_m,_p_laughing_7.8_sec))",1,laugh,general,(CAPS),,,final,,,,,,,,,,,
(LAUGHTER_AND_APPLAUSE),,((laughter_and_applause)):[:]:,1,laugh,general,(CAPS),,,,[],lag,,,,,,,,,
(LAUGHTER_AND_APPLAUSE),,((laughter_and_applause))[:]:[2:]:,1,laugh,general,(CAPS),,,,[],lag,,,,,,,,,
(LAUGHTER_AND_APPLAUSE),,[((laughter_and_applause))]:[2:]:,1,laugh,general,(CAPS),,,,[],lag,,,,,,,,,
(LAUGHTER_AND_APPLAUSE),,[2((laughter_and_applause))]:[3:],1,laugh,general,(CAPS),,,,[],lag,,,,,,,,,
(LAUGHTER),,((laughter)),27,laugh,general,(CAPS),,,,,,,,,,,,,,
(LAUGHTER),,((laughter)):,1,laugh,general,(CAPS),,,,,lag,,,,,,,,,
(LAUGHTER),,((laughter)):[:],1,laugh,general,(CAPS),,,,[],lag,,,,,,,,,
(LAUGHTER),,((laughter))[:],10,laugh,general,(CAPS),,,,[],lag,,,,,,,,,
(LAUGHTER),,((laughter))[:]:,6,laugh,general,(CAPS),,,,[],lag,,,,,,,,,
(LAUGHTER),,((laughter))[:]:[2:],2,laugh,general,(CAPS),,,,[],lag,,,,,,,,,
(LAUGHTER),,((laughter))[:]:[2:]:[3:],2,laugh,general,(CAPS),,,,[],lag,,,,,,,,,
(LAUGHTER),,((laughter))[:]:[2:]:[3:]:,1,laugh,general,(CAPS),,,,[],lag,,,,,,,,,
(LAUGHTER),,((laughter))[:][2:][3:][4:],1,laugh,general,(CAPS),,,,[],lag,,,,,,,,,
(LAUGHTER),,((laughter))[3:],1,laugh,general,(CAPS),,,,[],lag,,,,,,,,,
(LAUGHTER),,((laughter))],2,laugh,general,(CAPS),,,,],,,,,,,,,,
(LAUGHTER),,[((laughter))],11,laugh,general,(CAPS),,,,[],,,,,,,,,,
(LAUGHTER),,[((laughter))]:,10,laugh,general,(CAPS),,,,[],lag,,,,,,,,,
(LAUGHTER),,[((laughter))]:[2:],1,laugh,general,(CAPS),,,,[],lag,,,,,,,,,
(LAUGHTER),,[((laughter))]:[2:]:,5,laugh,general,(CAPS),,,,[],lag,,,,,,,,,
(LAUGHTER),,[((laughter))]:[2:]:[3:],2,laugh,general,(CAPS),,,,[],lag,,,,,,,,,
(LAUGHTER),,[((laughter))][2:],1,laugh,general,(CAPS),,,,[],lag,,,,,,,,,
(LAUGHTER),,[((laughter))][2:][3:][4:],2,laugh,general,(CAPS),,,,[],lag,,,,,,,,,
(LAUGHTER),,[((laughter))][2:][3:][4:][5:][6:][7:][8:],1,laugh,general,(CAPS),,,,[],lag,,,,,,,,,
(LAUGHTER),,[2((laughter)),1,laugh,general,(CAPS),,,,[,,,,,,,,,,
(LAUGHTER),,[2((laughter))[3:]:[4:]:,1,laugh,general,(CAPS),,,,[],lag,,,,,,,,,
(LAUGHTER),,[2((laughter))],4,laugh,general,(CAPS),,,,[],,,,,,,,,,
(LAUGHTER),,[2((laughter))]:,1,laugh,general,(CAPS),,,,[],lag,,,,,,,,,
(LAUGHTER),,[2((laughter))2[3:][4:],1,laugh,general,(CAPS),,,,[],lag,,,,,,,,,
(LAUGHTER),,[3((laughter))],2,laugh,general,(CAPS),,,,[],,,,,,,,,,
(LAUGHTER),,[3((laughter))]:[4:]:[5:]:,1,laugh,general,(CAPS),,,,[],lag,,,,,,,,,
(LAUGHTER),,[3((laughter))][4:][5:][6:]:[7:],1,laugh,general,(CAPS),,,,[],lag,,,,,,,,,
(LAUGHTER),,[4((laughter))],1,laugh,general,(CAPS),,,,[],,,,,,,,,,
(LAUGHTER),,[4((laughter))][5:],1,laugh,general,(CAPS),,,,[],lag,,,,,,,,,
(LAUGHTER),,[5((laughter))],1,laugh,general,(CAPS),,,,[],,,,,,,,,,
(LAUGHTER),,[5((laughter))][6:]:,1,laugh,general,(CAPS),,,,[],lag,,,,,,,,,
(LAUGHTER),,[7((laughter))],1,laugh,general,(CAPS),,,,[],,,,,,,,,,
(LAUGHTER),,[9((laughter))],1,laugh,general,(CAPS),,,,[],,,,,,,,,,
@(h),,[@(h),3,laugh,laugh-breath,CAPS,,,,[,,,,,,,,,,
@(h),,[@(h):2],1,laugh,laugh-breath,CAPS,,,,[],lag,,,,,,,,,
@(h),,[@(h)],5,laugh,laugh-breath,CAPS,,,,[],,,,,,,,,,
@(h),,[2@(h),3,laugh,laugh-breath,CAPS,,,,[,,,,,,,,,,
@(h),,[2@(h):,2,laugh,laugh-breath,CAPS,,,,[,lag,,,,,,,,,
@(h),,[2@(h):],1,laugh,laugh-breath,CAPS,,,,[],lag,,,,,,,,,
@(h),,[2@(h)],5,laugh,laugh-breath,CAPS,,,,[],,,,,,,,,,
@(h),,[3@(h),3,laugh,laugh-breath,CAPS,,,,[,,,,,,,,,,
